_id,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
86,86,Fatal,2008,May,Thursday,3,Hit pedestrian,Hit pedestrian,153.42924171765,-28.0076059560895,Markwell Ave,Surfers Paradise Blvd,,Surfers Paradise,Gold Coast City,4217,Surfers Paradise,Gold Coast,South Eastern,SEQ South,South Coast,Surfers Paradise,Surfers Paradise,Gold Coast,Major Cities,Surfers Paradise,Moncrieff,Locally-controlled,Intersection - Cross,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,004,Pedn: Play; Work; Stand; Lie On Cway,12: Pedestrian,N,1,0,0,0,1,1,0,0,0,0,1,0
445,445,Fatal,2008,March,Monday,13,Fall from vehicle,Single Vehicle,146.01521008559,-18.2546911697068,Bruce Hwy,,Bruce Highway (Ingham - Innisfail),Cardwell,Cassowary Coast Region,4849,Cardwell,Far North,Far Northern,Northern,North Queensland,Tully,Innisfail - Cassowary Coast,Cairns,Outer Regional,Hinchinbrook,Kennedy,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,701,Off Path-Straight: Left Off Cway,15: Off Carriageway on Straight,S,1,0,0,0,1,0,0,0,0,1,0,0
484,484,Fatal,2008,September,Wednesday,12,Sideswipe,Multi-Vehicle,152.987089338382,-27.1905556159366,Bruce Hwy,,Bruce Highway (Brisbane - Gympie),Deception Bay,Moreton Bay Region,4508,Deception Bay,Moreton,North Coast,SEQ North,North Coast,Deception Bay,Narangba - Burpengary,Moreton Bay - North,Major Cities,Bancroft,Petrie,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,306,Vehs Same Direction: Lane Change Right,05: Lane Change,S,1,2,0,0,3,3,0,0,0,0,0,0
485,485,Fatal,2008,September,Thursday,0,Head-on,Multi-Vehicle,148.408473003635,-20.2317143630114,Bruce Hwy,,Bruce Highway (Proserpine - Bowen),Gregory River,Whitsunday Region,4800,Proserpine,Mackay,Central,Central,Central Queensland,Proserpine,Whitsunday,Mackay - Isaac - Whitsunday,Outer Regional,Whitsunday,Dawson,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,S,1,0,1,0,2,1,0,1,0,0,0,0
491,491,Fatal,2009,January,Thursday,11,Angle,Multi-Vehicle,146.017290831923,-17.5583901299344,Aerodrome Rd,,,Mundoo,Cassowary Coast Region,4860,Innisfail,Far North,Far Northern,Northern,North Queensland,Johnstone,Innisfail - Cassowary Coast,Cairns,Outer Regional,Hill,Kennedy,Locally-controlled,Railway Crossing,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,903,Pass & Misc: Hit Train,11: Train,E,1,3,0,0,4,0,0,0,0,0,0,2
510,510,Fatal,2008,August,Thursday,23,Hit object,Single Vehicle,150.594272709845,-26.7721119741193,Chinchilla - Tara Rd,,Chinchilla - Tara Road,Chinchilla,Western Downs Region,4413,Chinchilla,South West,Southern,Southern,Southern Queensland,Chinchilla,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Outer Regional,Callide,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Straight,Grade,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,S,1,0,0,0,1,1,0,0,0,0,0,0
572,572,Fatal,2008,March,Tuesday,15,Head-on,Multi-Vehicle,145.768676524963,-17.0526416009258,Bruce Hwy,,Bruce Highway (Innisfail - Cairns),Gordonvale,Cairns Region,4865,Edmonton,Far North,Far Northern,Northern,North Queensland,Gordonvale - Trinity,Cairns - South,Cairns,Outer Regional,Mulgrave,Kennedy,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,N,1,0,0,0,1,1,0,1,0,0,0,0
669,669,Fatal,2008,December,Tuesday,15,Angle,Multi-Vehicle,153.337799795283,-27.9873786956221,Short St,Southport - Nerang Rd,Southport - Nerang Road,Nerang,Gold Coast City,4211,Nerang,Gold Coast,South Eastern,SEQ South,South Coast,Nerang - Mount Nathan,Nerang,Gold Coast,Major Cities,Gaven,Moncrieff,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,104,Vehs Adjacent Approach: Thru-Right,01: Intersection: Adjacent Approach,S,1,0,1,0,2,2,0,0,0,0,0,0
1246,1246,Fatal,2008,December,Monday,8,Rear-end,Multi-Vehicle,153.260447518053,-27.5242089551246,Capalaba - Cleveland Rd,Nelson St,Capalaba - Cleveland Road,Ormiston,Redland City,4160,Cleveland,South Brisbane,Brisbane,SEQ South,Metropolitan,Ormiston,Cleveland - Stradbroke,Brisbane - East,Major Cities,Oodgeroo,Bowman,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,304,Vehs Same Direction: U-Turn,07: U-turn,E,1,0,0,0,1,2,0,0,0,0,0,0
1373,1373,Fatal,2008,December,Thursday,5,Angle,Multi-Vehicle,153.090820738141,-27.3829390608796,Approach Rd,Nudgee Rd,,Banyo,Brisbane City,4014,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Nudgee - Banyo,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,102,Vehs Adjacent Approach: Right-Thru,01: Intersection: Adjacent Approach,E,1,0,3,0,4,3,0,1,0,0,0,0
