Crash ID,State,Dayweek,Crash Type,Bus Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day,DateTime,Year,Hour,Decade
20234009,SA,Saturday,Single,No,No,100,Driver,Male,22,No,No,17_to_25,Weekend,Night,2023-10-01 03:00:00,2023,3,2020s
20233087,Qld,Saturday,Single,No,No,80,Driver,Male,19,No,No,17_to_25,Weekend,Night,2023-10-01 03:00:00,2023,3,2020s
20233149,Qld,Sunday,Single,No,No,60,Passenger,Male,37,No,No,26_to_39,Weekend,Night,2023-10-01 03:00:00,2023,3,2020s
20233190,Qld,Sunday,Multiple,No,No,100,Motorcycle rider,Male,35,No,No,26_to_39,Weekend,Night,2023-10-01 03:00:00,2023,3,2020s
20233052,Qld,Saturday,Single,No,No,70,Driver,Female,32,No,No,26_to_39,Weekend,Night,2023-10-01 23:00:00,2023,23,2020s
20235077,WA,Monday,Single,No,No,60,Passenger,Male,29,No,No,26_to_39,Weekday,Day,2023-10-01 17:08:00,2023,17,2020s
20236005,Tas,Monday,Multiple,No,No,80,Driver,Female,51,No,No,40_to_64,Weekday,Night,2023-10-01 20:55:00,2023,20,2020s
20233149,Qld,Sunday,Single,No,No,60,Passenger,Male,39,No,No,26_to_39,Weekend,Night,2023-10-01 03:00:00,2023,3,2020s
20236028,Tas,Saturday,Single,No,No,60,Driver,Male,33,No,No,26_to_39,Weekend,Night,2023-10-01 03:15:00,2023,3,2020s
20231095,NSW,Wednesday,Single,No,No,70,Driver,Male,40,No,No,40_to_64,Weekday,Night,2023-10-01 18:40:00,2023,18,2020s
20235097,WA,Tuesday,Single,No,No,110,Driver,Male,60,No,No,40_to_64,Weekday,Day,2023-10-01 15:25:00,2023,15,2020s
20231059,NSW,Friday,Single,No,No,80,Driver,Male,44,No,No,40_to_64,Weekend,Night,2023-10-01 23:08:00,2023,23,2020s
20235091,WA,Monday,Single,No,No,110,Driver,Female,63,No,No,40_to_64,Weekday,Day,2023-10-01 07:54:00,2023,7,2020s
20233053,Qld,Sunday,Multiple,No,No,60,Motorcycle rider,Male,27,No,No,26_to_39,Weekend,Day,2023-10-01 16:00:00,2023,16,2020s
20233035,Qld,Sunday,Single,No,No,60,Driver,Male,30,No,No,26_to_39,Weekend,Day,2023-10-01 08:00:00,2023,8,2020s
20235051,WA,Wednesday,Single,No,No,70,Pedestrian,Female,48,No,No,40_to_64,Weekday,Night,2023-10-01 01:00:00,2023,1,2020s
20231105,NSW,Friday,Multiple,No,No,70,Motorcycle rider,Male,55,No,No,40_to_64,Weekend,Night,2023-10-01 18:00:00,2023,18,2020s
20235059,WA,Wednesday,Single,No,No,110,Passenger,Female,62,No,No,40_to_64,Weekday,Day,2023-10-01 07:00:00,2023,7,2020s
20235112,WA,Saturday,Single,No,No,100,Motorcycle rider,Male,45,No,No,40_to_64,Weekend,Day,2023-10-01 13:54:00,2023,13,2020s
20233196,Qld,Saturday,Multiple,No,No,100,Driver,Male,71,No,No,65_to_74,Weekend,Day,2023-10-01 07:00:00,2023,7,2020s
20235073,WA,Sunday,Single,No,No,110,Driver,Male,67,No,No,65_to_74,Weekend,Day,2023-10-01 14:37:00,2023,14,2020s
20235062,WA,Saturday,Single,No,No,60,Driver,Male,65,No,No,65_to_74,Weekend,Night,2023-10-01 19:35:00,2023,19,2020s
20231013,NSW,Monday,Multiple,No,No,100,Passenger,Male,18,No,No,17_to_25,Weekday,Day,2023-10-01 16:30:00,2023,16,2020s
